,file_id,r_bottom,displacement,r_upper,energy_values_experimental,adjusted_energy
216,r100_t3.6_t3.6_0_transformed.cif,100,3.6,0,-936.24591,0.3938900000000558
217,r100_t3.6_t3.6_100_transformed.cif,100,3.6,100,-936.43761,0.2021900000000869
218,r100_t3.6_t3.6_120_transformed.cif,100,3.6,120,-936.27845,0.3613500000000158
219,r100_t3.6_t3.6_140_transformed.cif,100,3.6,140,-936.10671,0.5330900000000156
220,r100_t3.6_t3.6_160_transformed.cif,100,3.6,160,-936.10741,0.5323900000000776
221,r100_t3.6_t3.6_180_transformed.cif,100,3.6,180,-936.28157,0.3582300000000487
222,r100_t3.6_t3.6_200_transformed.cif,100,3.6,200,-936.75214,-0.1123400000000174
223,r100_t3.6_t3.6_20_transformed.cif,100,3.6,20,-936.1574,0.4823999999999842
224,r100_t3.6_t3.6_220_transformed.cif,100,3.6,220,-936.99644,-0.3566399999999703
225,r100_t3.6_t3.6_240_transformed.cif,100,3.6,240,-936.49467,0.1451299999999946
226,r100_t3.6_t3.6_260_transformed.cif,100,3.6,260,-936.39245,0.247349999999983
227,r100_t3.6_t3.6_280_transformed.cif,100,3.6,280,-936.31883,0.3209699999999884
228,r100_t3.6_t3.6_300_transformed.cif,100,3.6,300,-936.30582,0.3339799999999968
